成交小区,成交价（万元）,成交楼层,单价每平（元）,朝向,成交时间
,,,,,
九州奥城 3室2厅 116.83平米,100,低楼层(共15层) 板楼,8560,南|精装,2021.01.31
,,,,,
友邦·皇家公馆 3室2厅 115平米,97,高楼层(共24层) 板楼,8435,南|毛坯,2021.01.31
,,,,,
带湖路62号 3室2厅 91.42平米,42,高楼层(共6层) 暂无数据,4595,南|简装,2021.01.31
,,,,,
亿豪星城 4室2厅 115.4平米,103,低楼层(共22层) 板楼,8917,南|毛坯,2021.01.31
,,,,,
名仕康城 3室2厅 71.57平米,56,低楼层(共19层) 板塔结合,7825,北|精装,2021.01.31
,,,,,
南门路80号 2室1厅 78平米,43,中楼层(共7层) 暂无数据,5436,东西|精装,2021.01.31
,,,,,
亿升滨江花园 3室2厅 108平米,125,高楼层(共29层) 塔楼,11575,南北|精装,2021.01.31
,,,,,
万嘉国际花园 2室2厅 89.89平米,86,高楼层(共11层) 板楼,9568,南|精装,2021.01.31
,,,,,
月泉花城 5室2厅 130.7平米,105,高楼层(共6层) 塔楼,8034,南|毛坯,2021.01.31
,,,,,
世纪花园 3室2厅 89.56平米,57,中楼层(共7层) 板塔结合,6365,南北|简装,2021.01.30
,,,,,
万景名苑 3室2厅 123.03平米,81,低楼层(共17层) 板楼,6584,南北|精装,2021.01.30
,,,,,
万达晶座 1室0厅 48.78平米,35,中楼层(共29层) 塔楼,7028,南|毛坯,2021.01.30
,,,,,
普济巷15号 2室1厅 65.75平米,62,中楼层(共6层) 暂无数据,9430,南|简装,2021.01.30
,,,,,
润丰拉菲庄园 3室2厅 167平米,143,中楼层(共26层) 塔楼,8545,南|毛坯,2021.01.29
,,,,,
月泉花城 3室2厅 137.42平米,96,低楼层(共11层) 板楼,6972,南|毛坯,2021.01.29
,,,,,
带湖花城 3室2厅 156平米,109,低楼层(共15层) 板塔结合,6975,南|简装,2021.01.29
,,,,,
大学春城 3室2厅 126.01平米,83,高楼层(共6层) 板楼,6587,南|毛坯,2021.01.29
,,,,,
伯爵山 3室2厅 133平米,92,低楼层(共11层) 板楼,6910,南|简装,2021.01.29
,,,,,
亿升滨江花园 2室2厅 90.31平米,106,中楼层(共33层) 板楼,11669,南|精装,2021.01.29
,,,,,
建亨上东城 3室2厅 126.8平米,82,中楼层(共26层) 板楼,6428,东南|毛坯,2021.01.29
,,,,,
奥林至尊 1室1厅 50.82平米,39,中楼层(共20层) 板楼,7675,南|精装,2021.01.29
,,,,,
汇成·凡尔赛 4室2厅 124.44平米,116,中楼层(共30层) 板楼,9322,南|精装,2021.01.29
,,,,,
钟亭小区 3室2厅 63.46平米,70,中楼层(共7层) 板楼,11031,南|简装,2021.01.28
,,,,,
奥林至尊 2室2厅 98.44平米,69,低楼层(共31层) 板楼,7010,南|毛坯,2021.01.28
,,,,,
南门口 3室2厅 108平米,70,中楼层(共8层) 暂无数据,6408,南|简装,2021.01.28
,,,,,
钟亭小区 3室1厅 63平米,75,中楼层(共7层) 板楼,11905,南|精装,2021.01.28
,,,,,
幸福楼 3室2厅 125平米,66,中楼层(共7层) 板楼,5264,南北|简装,2021.01.28
,,,,,
永隆米兰春天 2室2厅 86.71平米,76,中楼层(共22层) 板楼,8765,南北|精装,2021.01.28
,,,,,
福利巷2号 2室2厅 74.6平米,41,中楼层(共8层) 板楼,5496,西南|简装,2021.01.27
,,,,,
翼天学府 5室2厅 99.3平米,118,高楼层(共17层) 塔楼,11884,南|毛坯,2021.01.27
,,,,,
亿升滨江花园 4室2厅 132平米,141,高楼层(共32层) 板楼,10682,南|其他,2021.01.27
,,,,,
天骄家园 2室2厅 100平米,63,高楼层(共7层) 塔楼,6220,南|简装,2021.01.26
,,,,,
友邦壹号公馆 3室2厅 120平米,138,高楼层(共31层) 板塔结合,11500,南|毛坯,2021.01.26
,,,,,
锦绣年华二期 3室2厅 98.86平米,60,高楼层(共8层) 板楼,6019,南|简装,2021.01.26
,,,,,
滨江首座 3室2厅 89.17平米,70,中楼层(共6层) 板楼,7851,南北|精装,2021.01.26
,,,,,
天一尊邸 2室2厅 85.63平米,53,低楼层(共18层) 板楼,6143,南北|毛坯,2021.01.26
,,,,,
嘉怡华府 2室2厅 88.84平米,74,高楼层(共14层) 塔楼,8330,南|毛坯,2021.01.26
,,,,,
地委大院 2室2厅 57.91平米,75,低楼层(共4层) 板楼,12952,南|精装,2021.01.26
,,,,,
凤凰首府 2室2厅 90.83平米,50,中楼层(共7层) 板楼,5505,东东南|毛坯,2021.01.26
,,,,,
绿景家园 3室2厅 142平米,114,低楼层(共8层) 板楼,7993,南北|简装,2021.01.26
,,,,,
友邦壹号公馆 3室2厅 104平米,105,高楼层(共32层) 板塔结合,10097,南|毛坯,2021.01.26
,,,,,
带湖路62号 3室2厅 107平米,68,高楼层(共7层) 平房,6356,南|简装,2021.01.26
,,,,,
凯旋如意城 3室2厅 128.56平米,100,中楼层(共27层) 板楼,7779,南|毛坯,2021.01.26
,,,,,
御景天下 3室2厅 116.29平米,119,低楼层(共18层) 板楼,10234,南北|简装,2021.01.25
,,,,,
亿升滨江花园 3室2厅 101.05平米,118,中楼层(共31层) 板楼,11678,南北|精装,2021.01.25
,,,,,
国际公馆 4室2厅 173.03平米,126,低楼层(共22层) 板楼,7282,南|其他,2021.01.25
,,,,,
汇成·凡尔赛 3室2厅 93平米,87,低楼层(共30层) 板楼,9302,南|毛坯,2021.01.25
,,,,,
中航城·波西塔诺 4室2厅 159.17平米,153,低楼层(共6层) 板楼,9613,南|精装,2021.01.24
,,,,,
槠溪·碧水香邻 3室2厅 138.57平米,121,中楼层(共11层) 板楼,8733,东南|精装,2021.01.24
,,,,,
龙湖一品 3室2厅 120.94平米,120,低楼层(共18层) 板楼,9923,南|毛坯,2021.01.24
,,,,,
花郡 4室2厅 171平米,160,低楼层(共27层) 塔楼,9357,南北|毛坯,2021.01.24
,,,,,
中航城·波西塔诺 3室2厅 121.15平米,95,高楼层(共6层) 板楼,7768,南北|毛坯,2021.01.24
,,,,,
水南街321号 3室2厅 118平米,58,高楼层(共6层) 板楼,4899,南北|精装,2021.01.24
,,,,,
紫阳名邸 2室1厅 70.07平米,47,高楼层(共28层) 板楼,6608,东南|毛坯,2021.01.24
,,,,,
江南商贸城 3室2厅 103.8平米,73,中楼层(共5层) 板楼,7033,南|精装,2021.01.24
,,,,,
卡布基诺 1室1厅 52.25平米,38,高楼层(共18层) 塔楼,7178,西|毛坯,2021.01.24
,,,,,
润丰拉菲庄园 2室2厅 91.83平米,99,中楼层(共26层) 板楼,10781,南|精装,2021.01.24
,,,,,
带湖路9号 3室2厅 102.19平米,65,中楼层(共7层) 暂无数据,6361,东西|精装,2021.01.24
,,,,,
带湖花城 4室2厅 134.61平米,104,高楼层(共6层) 板塔结合,7689,南北|毛坯,2021.01.24
,,,,,
汇成·凡尔赛 4室2厅 126.89平米,120,高楼层(共18层) 暂无数据,9458,南|毛坯,2021.01.24
,,,,,
沿河东路10号 2室2厅 70平米,58,低楼层(共8层) 平房,8229,南|简装,2021.01.24
,,,,,
五三大道172号 2室1厅 53.42平米,30,高楼层(共5层) 暂无数据,5616,南北|毛坯,2021.01.24
,,,,,
福利巷 2室2厅 100.56平米,52,中楼层(共7层) 平房,5172,东南|其他,2021.01.24
,,,,,
友邦玫瑰公馆 3室2厅 115.3平米,84,低楼层(共33层) 平房,7286,南|毛坯,2021.01.23
,,,,,
九州奥城 3室2厅 137.83平米,105,中楼层(共11层) 板楼,7590,南|毛坯,2021.01.23
,,,,,
御景天下 3室2厅 132平米,138,高楼层(共17层) 板楼,10455,南|精装,2021.01.23
,,,,,
润丰城市广场 2室2厅 135平米,93,中楼层(共27层) 暂无数据,6860,东南|精装,2021.01.23
,,,,,
凯旋如意城 1室1厅 38.17平米,41,低楼层(共18层) 板楼,10742,南|精装,2021.01.23
,,,,,
沿河东路3号 3室2厅 118平米,69,中楼层(共8层) 塔楼,5848,南|精装,2021.01.23
,,,,,
亿豪星城 4室2厅 120平米,106,中楼层(共17层) 板楼,8834,东南|毛坯,2021.01.23
,,,,,
北園 3室2厅 111.44平米,79,低楼层(共7层) 板楼,7072,南北|精装,2021.01.23
,,,,,
万达晶座 1室0厅 37.18平米,30,高楼层(共29层) 塔楼,7935,东南|精装,2021.01.22
,,,,,
绿景家园 4室2厅 187.61平米,127,中楼层(共7层) 板楼,6743,南北|简装,2021.01.22
,,,,,
奥林至尊 3室2厅 135平米,100,高楼层(共27层) 板楼,7408,南北|毛坯,2021.01.22
,,,,,
花郡 3室2厅 126.76平米,116,高楼层(共24层) 板楼,9136,南北|毛坯,2021.01.22
,,,,,
九州奥城 5室2厅 276.83平米,262,中楼层(共5层) 板楼,9465,南|精装,2021.01.22
,,,,,
龙湖一品 2室1厅 57.97平米,69,中楼层(共17层) 板楼,11869,北|精装,2021.01.22
,,,,,
丰溪南区 2室1厅 55.22平米,36,中楼层(共7层) 板楼,6520,南|精装,2021.01.22
,,,,,
龙湖一品 2室1厅 58.62平米,60,中楼层(共17层) 板楼,10236,南|简装,2021.01.21
,,,,,
双星小区 3室2厅 151平米,101,高楼层(共18层) 板楼,6689,南|精装,2021.01.21
,,,,,
天津桥头15号 2室2厅 81.98平米,48,中楼层(共7层) 板楼,5795,南北|简装,2021.01.21
,,,,,
龙华凤凰城 3室2厅 133.69平米,166,低楼层(共17层) 板楼,12380,南|精装,2021.01.21
,,,,,
月泉花城 4室2厅 134平米,113,高楼层(共6层) 板楼,8433,南|精装,2021.01.20
,,,,,
阳光花城 5室2厅 160.4平米,92,中楼层(共12层) 板楼,5736,南|精装,2021.01.20
,,,,,
翼天·熙龙湾 3室2厅 100.65平米,95,中楼层(共18层) 暂无数据,9439,南|简装,2021.01.20
,,,,,
信江西路3号 2室1厅 68.87平米,40,低楼层(共3层) 暂无数据,5721,南|简装,2021.01.20
,,,,,
鹏辉中粮广场 3室2厅 105平米,110,中楼层(共28层) 塔楼,10477,南|其他,2021.01.20
,,,,,
万达晶座 1室0厅 34.18平米,28,中楼层(共29层) 塔楼,8046,南|精装,2021.01.20
,,,,,
友邦玫瑰公馆 4室2厅 123.7平米,103,中楼层(共32层) 板楼,8327,南|毛坯,2021.01.20
,,,,,
信州壹号 3室2厅 118.98平米,90,中楼层(共31层) 板塔结合,7498,南|毛坯,2021.01.20
,,,,,
万达晶座 1室1厅 60平米,57,低楼层(共31层) 塔楼,9500,南|精装,2021.01.19
,,,,,
信阳路1号 2室1厅 82.9平米,46,中楼层(共8层) 暂无数据,5549,南|简装,2021.01.19
,,,,,
解放路物资局宿舍 2室1厅 68平米,44,高楼层(共6层) 塔楼,6353,南|精装,2021.01.19
,,,,,
公园道1号 3室2厅 140.07平米,120,高楼层(共18层) 塔楼,8553,东南|毛坯,2021.01.19
,,,,,
汇景广场 3室2厅 133.43平米,113,中楼层(共18层) 板楼,8439,南北|毛坯,2021.01.19
,,,,,
紫竹苑小区 3室2厅 122.85平米,40,高楼层(共5层) 暂无数据,3257,南|简装,2021.01.19
,,,,,
博能信江府 4室2厅 169平米,121,高楼层(共32层) 暂无数据,7160,南|毛坯,2021.01.19
,,,,,
东湖花园 3室2厅 141.51平米,109,中楼层(共11层) 板楼,7703,南|简装,2021.01.19
,,,,,
农业银行员工宿舍 2室2厅 64.46平米,58,低楼层(共5层) 塔楼,8998,南|简装,2021.01.18
,,,,,
凯旋江岸首府 3室2厅 130.63平米,98,高楼层(共15层) 板楼,7487,东南|毛坯,2021.01.18
,,,,,
中梁翼天首府 4室2厅 129.13平米,106,低楼层(共6层) 暂无数据,8137,南|毛坯,2021.01.18
,,,,,
江光小区 2室1厅 52.13平米,36,中楼层(共5层) 板塔结合,6868,南|简装,2021.01.18
,,,,,
汇成·凡尔赛 3室2厅 87.59平米,94,低楼层(共18层) 板楼,10732,南|精装,2021.01.18
,,,,,
万达晶座 1室0厅 32.75平米,29,中楼层(共29层) 塔楼,8855,南|精装,2021.01.17
,,,,,
富金新世界 2室2厅 79.86平米,64,中楼层(共18层) 塔楼,7914,南|精装,2021.01.17
,,,,,
瀚林印象 3室2厅 92平米,72,高楼层(共6层) 板楼,7816,东南|精装,2021.01.17
,,,,,
茗苑小区 3室2厅 121.67平米,88,高楼层(共6层) 暂无数据,7233,南|简装,2021.01.17
,,,,,
卡布基诺 1室1厅 52.2平米,41,高楼层(共18层) 塔楼,7682,东|精装,2021.01.17
,,,,,
惟义路63号 3室2厅 87.51平米,42,低楼层(共3层) 暂无数据,4800,南|简装,2021.01.17
,,,,,
美地印象 3室2厅 92.5平米,60,高楼层(共24层) 板塔结合,6487,南北|毛坯,2021.01.17
,,,,,
蓝天公寓 3室2厅 140.25平米,87,高楼层(共16层) 板楼,6204,南北|精装,2021.01.17
,,,,,
万和·九龙湖 3室2厅 129.08平米,124,中楼层(共8层) 塔楼,9568,南|毛坯,2021.01.17
,,,,,
三江佳苑 3室2厅 125.93平米,79,中楼层(共7层) 板楼,6274,南|精装,2021.01.17
,,,,,
农业银行员工宿舍 4室2厅 78.39平米,76,中楼层(共5层) 暂无数据,9606,东南|简装,2021.01.17
,,,,,
绿野幸福里 2室2厅 86.7平米,54,低楼层(共23层) 板楼,6229,南|精装,2021.01.17
,,,,,
友邦華城 3室2厅 141.24平米,88,中楼层(共19层) 板楼,6231,南|毛坯,2021.01.17
,,,,,
东苑小区 2室2厅 89.88平米,56,高楼层(共9层) 平房,6231,南|精装,2021.01.16
,,,,,
博能瀚林院 3室2厅 133.3平米,87,低楼层(共9层) 板楼,6527,南|毛坯,2021.01.16
,,,,,
博能信江府 3室2厅 94平米,67,高楼层(共32层) 板楼,7128,南|毛坯,2021.01.16
,,,,,
四股头4号 3室2厅 121平米,79,低楼层(共2层) 板塔结合,6529,南|精装,2021.01.16
,,,,,
城市8号 5室2厅 117.96平米,115,中楼层(共11层) 板楼,9681,南北|精装,2021.01.16
,,,,,
世纪花园 2室1厅 75.67平米,45,中楼层(共6层) 平房,5947,南北|简装,2021.01.16
,,,,,
嘉怡华府 3室2厅 135.9平米,138,中楼层(共7层) 板塔结合,10155,南北|毛坯,2021.01.16
,,,,,
友邦壹号公馆 3室2厅 104.48平米,109,中楼层(共32层) 板塔结合,10433,南|毛坯,2021.01.16
,,,,,
永利滨江御景园一期 5室3厅 217.67平米,285,低楼层(共3层) 板楼,13094,南|毛坯,2021.01.16
,,,,,
万景名苑 3室2厅 119.93平米,79,中楼层(共17层) 板楼,6529,南北|精装,2021.01.16
,,,,,
丰溪南区 2室2厅 74.23平米,38,高楼层(共6层) 板楼,5052,南|简装,2021.01.16
,,,,,
中航城波波里花园 3室2厅 149.56平米,145,低楼层(共6层) 板楼,9662,南|毛坯,2021.01.15
,,,,,
友邦玫瑰公馆 4室2厅 132.02平米,95,中楼层(共33层) 板塔结合,7196,南|毛坯,2021.01.15
,,,,,
友邦壹号公馆 4室2厅 120平米,132,高楼层(共31层) 板塔结合,11000,南北|毛坯,2021.01.15
,,,,,
亿豪星城 3室2厅 95平米,100,高楼层(共25层) 板楼,10493,东南|精装,2021.01.15
,,,,,
汇成·凡尔赛 3室2厅 92.32平米,94,中楼层(共30层) 板楼,10182,南|精装,2021.01.15
,,,,,
奥林至尊 1室1厅 44.89平米,36,高楼层(共20层) 板楼,8020,北|精装,2021.01.15
,,,,,
财富广场 3室2厅 151.7平米,108,低楼层(共28层) 塔楼,7120,南|简装,2021.01.15
,,,,,
地矿局赣东北大队宿舍 2室2厅 77.65平米,44,高楼层(共7层) 暂无数据,5667,南|简装,2021.01.14
,,,,,
翼天学府 3室2厅 98.37平米,85,中楼层(共17层) 塔楼,8641,南|精装,2021.01.14
,,,,,
北園 5室2厅 192平米,76,高楼层(共7层) 板塔结合,3959,南北|简装,2021.01.14
,,,,,
信渡口批发市场官仑弄居 2室2厅 87.39平米,45,高楼层(共7层) 暂无数据,5150,南|简装,2021.01.13
,,,,,
桃花源 4室2厅 183平米,135,高楼层(共10层) 板楼,7378,南北|毛坯,2021.01.13
,,,,,
五洲国际商业城二期 1室1厅 56.56平米,30,高楼层(共4层) 暂无数据,5305,南|毛坯,2021.01.13
,,,,,
带湖路51号 2室2厅 73.23平米,51,高楼层(共8层) 塔楼,6965,南北|简装,2021.01.13
,,,,,
永利滨江御景园一期 3室2厅 143.98平米,155,中楼层(共5层) 板楼,10766,南|毛坯,2021.01.13
,,,,,
中富花园 4室2厅 131.33平米,131,中楼层(共17层) 板楼,9975,南|简装,2021.01.13
,,,,,
东门路8号 2室1厅 68.32平米,37,中楼层(共8层) 板塔结合,5416,西|简装,2021.01.12
,,,,,
博园湾 4室2厅 140平米,69,低楼层(共11层) 暂无数据,4879,南北|其他,2021.01.12
,,,,,
万达晶座 1室1厅 60平米,57,中楼层(共31层) 塔楼,9417,南|简装,2021.01.12
,,,,,
友邦壹号公馆 4室2厅 124平米,160,低楼层(共32层) 板塔结合,12904,南|精装,2021.01.12
,,,,,
紫景園 3室2厅 107平米,96,低楼层(共11层) 板楼,8972,南|精装,2021.01.12
,,,,,
龙华世纪城 2室2厅 84平米,77,低楼层(共32层) 板楼,9108,南北|毛坯,2021.01.12
,,,,,
上饶丽城 3室2厅 118平米,118,中楼层(共13层) 板楼,10000,南北|精装,2021.01.12
,,,,,
金兴名庭 3室2厅 117.34平米,81,中楼层(共7层) 板楼,6904,西|精装,2021.01.11
,,,,,
马皇庙巷5号 2室1厅 72平米,46,高楼层(共5层) 暂无数据,6320,南|精装,2021.01.11
,,,,,
奥林至尊 2室2厅 84.94平米,80,低楼层(共20层) 板楼,9419,南|其他,2021.01.11
,,,,,
阳明花园 3室2厅 128.6平米,76,低楼层(共6层) 板楼,5910,南北|简装,2021.01.10
,,,,,
公园道1号尊品 3室2厅 125.32平米,120,高楼层(共17层) 板楼,9536,南|毛坯,2021.01.10
,,,,,
建亨上东城 3室2厅 86.68平米,63,中楼层(共24层) 板楼,7269,东南|毛坯,2021.01.10
,,,,,
友邦壹号公馆 4室2厅 135平米,120,低楼层(共31层) 板塔结合,8889,南|毛坯,2021.01.10
,,,,,
龙芽亭 2室1厅 62.43平米,39,中楼层(共7层) 暂无数据,6215,南|毛坯,2021.01.10
,,,,,
龙华世纪城 3室2厅 94平米,77,高楼层(共33层) 板楼,8192,南|毛坯,2021.01.10
,,,,,
五洲国际都会 3室2厅 129平米,103,低楼层(共6层) 板塔结合,7929,南|精装,2021.01.10
,,,,,
中富花园 2室2厅 89.97平米,108,高楼层(共6层) 板楼,12005,南北|精装,2021.01.09
,,,,,
民德路54号 3室2厅 108.15平米,57,高楼层(共8层) 板楼,5271,南北|简装,2021.01.09
,,,,,
友邦壹号公馆 4室2厅 123.7平米,145,中楼层(共30层) 板塔结合,11722,南|毛坯,2021.01.09
,,,,,
江光小区 3室1厅 58.32平米,52,中楼层(共5层) 板楼,8797,东南|精装,2021.01.08
,,,,,
明阳大学公馆 3室2厅 105平米,86,中楼层(共16层) 板塔结合,8143,东南|精装,2021.01.08
,,,,,
紫阳华庭 4室2厅 128平米,105,中楼层(共11层) 板楼,8204,南|毛坯,2021.01.08
,,,,,
金城花园 3室2厅 115平米,74,高楼层(共6层) 暂无数据,6392,南|其他,2021.01.08
,,,,,
花郡 3室2厅 126平米,108,高楼层(共24层) 板楼,8572,东南|毛坯,2021.01.08
,,,,,
友邦玫瑰公馆 3室2厅 124平米,105,高楼层(共32层) 板楼,8468,东南|毛坯,2021.01.08
,,,,,
紫陽名星廣場 7室0厅 129平米,143,中楼层(共17层) 塔楼,11086,南北|精装,2021.01.07
,,,,,
九州奥城 3室2厅 118.57平米,91,中楼层(共7层) 板楼,7667,南|毛坯,2021.01.07
,,,,,
翰园小区 3室2厅 127平米,79,中楼层(共8层) 暂无数据,6221,南|简装,2021.01.07
,,,,,
地税局家属楼 5室1厅 124.82平米,80,低楼层(共7层) 板楼,6394,南|精装,2021.01.06
,,,,,
帝景湾 3室2厅 140.98平米,103,高楼层(共11层) 板塔结合,7271,东南|毛坯,2021.01.06
,,,,,
友邦壹号公馆 5室2厅 240平米,290,高楼层(共30层) 板塔结合,12084,南|毛坯,2021.01.06
,,,,,
金叶名庭 3室2厅 106平米,70,中楼层(共11层) 塔楼,6567,南|毛坯,2021.01.06
,,,,,
龙湖一品 3室2厅 120.94平米,134,低楼层(共18层) 板楼,11047,南北|精装,2021.01.06
,,,,,
中航城·波西塔诺 3室2厅 86.9平米,82,中楼层(共17层) 塔楼,9437,南|简装,2021.01.06
,,,,,
万达华府 3室2厅 88平米,98,低楼层(共30层) 板楼,11137,南|简装,2021.01.06
,,,,,
大学春城 3室2厅 89.38平米,70,中楼层(共6层) 板楼,7776,东南西南|简装,2021.01.06
,,,,,
建亨上东城 3室2厅 110平米,91,高楼层(共26层) 板塔结合,8273,南|毛坯,2021.01.06
,,,,,
钟山北路52号 3室2厅 73.79平米,38,低楼层(共6层) 暂无数据,5150,东南|简装,2021.01.06
,,,,,
水南街客车厂 3室1厅 73.4平米,46,低楼层(共6层) 板楼,6199,东南|简装,2021.01.05
,,,,,
文英国际 4室2厅 123.78平米,90,低楼层(共32层) 暂无数据,7238,南|毛坯,2021.01.05
,,,,,
友邦壹号公馆 4室2厅 122平米,134,中楼层(共31层) 板塔结合,10943,南|毛坯,2021.01.05
,,,,,
阳光福邸 2室2厅 90平米,73,中楼层(共7层) 板塔结合,8112,南|简装,2021.01.05
,,,,,
汇成·凡尔赛 2室2厅 90.1平米,89,低楼层(共32层) 板楼,9823,南|精装,2021.01.05
,,,,,
万和·九龙湖 3室2厅 128.81平米,118,低楼层(共7层) 塔楼,9161,南|简装,2021.01.05
,,,,,
五洲国际商业城二期 1室1厅 45平米,26,高楼层(共4层) 暂无数据,5778,南|毛坯,2021.01.05
,,,,,
秀水园 3室2厅 128.6平米,91,中楼层(共17层) 板楼,7077,南北|毛坯,2021.01.05
,,,,,
名仕康城 3室2厅 126.62平米,84,高楼层(共11层) 板楼,6635,南|简装,2021.01.05
,,,,,
龙华世纪城 3室2厅 126平米,111,低楼层(共33层) 板楼,8810,南|精装,2021.01.04
,,,,,
翼天城 3室1厅 97.5平米,85,中楼层(共18层) 暂无数据,8667,东南|毛坯,2021.01.04
,,,,,
汇成·凡尔赛 3室2厅 128.58平米,129,高楼层(共18层) 暂无数据,10010,南北|毛坯,2021.01.04
,,,,,
紫阳华庭 3室2厅 143.85平米,132,中楼层(共17层) 板楼,9177,南|精装,2021.01.04
,,,,,
海博蓝庭 3室2厅 136.88平米,94,中楼层(共32层) 板楼,6853,东南|毛坯,2021.01.03
,,,,,
博能信江府 3室2厅 98.67平米,76,中楼层(共32层) 板楼,7683,南|毛坯,2021.01.03
,,,,,
槠溪·碧水香邻 2室2厅 85.6平米,75,高楼层(共6层) 塔楼,8762,南|精装,2021.01.03
,,,,,
友邦壹号公馆 4室2厅 123平米,151,中楼层(共31层) 板塔结合,12220,南北|毛坯,2021.01.03
,,,,,
永隆米兰春天 3室1厅 88.96平米,92,低楼层(共11层) 塔楼,10342,东南|简装,2021.01.03
,,,,,
育才路46号 2室2厅 82.03平米,45,高楼层(共5层) 暂无数据,5486,东南|精装,2021.01.03
,,,,,
师院教工公寓 2室1厅 70.4平米,52,中楼层(共6层) 板楼,7387,东南|精装,2021.01.03
,,,,,
博园湾 3室2厅 122平米,72,中楼层(共9层) 暂无数据,5861,南|毛坯,2021.01.03
,,,,,
九州奥城 3室2厅 135平米,97,中楼层(共7层) 板楼,7149,南北|毛坯,2021.01.02
,,,,,
龙湖一品 4室2厅 128平米,181,高楼层(共6层) 板楼,14141,东南南|精装,2021.01.02
,,,,,
蔚蓝香廷 2室2厅 94.7平米,72,低楼层(共24层) 板塔结合,7603,南|精装,2021.01.02
,,,,,
中央公园二期 3室2厅 131平米,116,中楼层(共15层) 板楼,8855,南|简装,2021.01.02
,,,,,
凯旋江岸首府 2室2厅 86.49平米,65,低楼层(共21层) 板楼,7516,南|精装,2021.01.02
,,,,,
远泉绿城 3室2厅 108平米,65,高楼层(共8层) 暂无数据,6019,南北|毛坯,2021.01.02
,,,,,
天居家园 3室2厅 88平米,65,中楼层(共15层) 塔楼,7387,南|精装,2021.01.02
,,,,,
友邦玫瑰公馆 3室2厅 96.93平米,74,中楼层(共32层) 板楼,7635,南|毛坯,2021.01.01
,,,,,
龙芽亭16号 3室1厅 101平米,94,低楼层(共6层) 暂无数据,9298,南|精装,2021.01.01
,,,,,
万达晶座 1室0厅 33平米,30,中楼层(共29层) 塔楼,9031,东南|精装,2021.01.01
,,,,,
万达华府 3室2厅 124平米,114,低楼层(共30层) 板楼,9186,南|简装,2021.01.01
,,,,,
中富花园 2室2厅 87.7平米,116,低楼层(共6层) 板楼,13227,南|其他,2020.12.31
,,,,,
崭岭头路9号 2室1厅 63平米,30,中楼层(共4层) 暂无数据,4731,南|其他,2020.12.31
,,,,,
桃花源 3室2厅 132.74平米,92,高楼层(共10层) 板楼,6901,南北|毛坯,2020.12.31
,,,,,
凯旋如意城 3室2厅 97.93平米,83,中楼层(共23层) 板楼,8456,南|毛坯,2020.12.31
,,,,,
龙湖一品 4室2厅 157平米,180,高楼层(共18层) 板楼,11465,东南|精装,2020.12.30
,,,,,
上海公馆 1室1厅 45平米,30,低楼层(共20层) 塔楼,6667,南|精装,2020.12.30
,,,,,
破塘路32号 3室1厅 81.07平米,52,高楼层(共5层) 暂无数据,6415,西|简装,2020.12.30
,,,,,
中山西路84号 1室0厅 19平米,16,低楼层(共5层) 暂无数据,8316,北|简装,2020.12.30
,,,,,
翰林华府 2室2厅 79.86平米,61,低楼层(共18层) 板楼,7639,南北|简装,2020.12.30
,,,,,
地委大院 2室1厅 53.44平米,49,高楼层(共6层) 板楼,9076,南|简装,2020.12.30
,,,,,
凯旋江岸首府 3室2厅 119.8平米,89,中楼层(共18层) 板楼,7371,南|毛坯,2020.12.29
,,,,,
大学春城 3室2厅 89平米,75,中楼层(共6层) 板楼,8427,南|精装,2020.12.29
,,,,,
美地印象 4室2厅 161.67平米,105,低楼层(共11层) 板塔结合,6495,南|精装,2020.12.29
,,,,,
城仕杰座 1室0厅 39.8平米,25,中楼层(共7层) 板楼,6156,南|简装,2020.12.29
,,,,,
阳光花园北区 3室2厅 120.67平米,75,低楼层(共7层) 板楼,6216,南|简装,2020.12.29
,,,,,
抗建路31号 2室1厅 66.9平米,39,中楼层(共6层) 板楼,5830,西南|简装,2020.12.29
,,,,,
花郡 3室2厅 98平米,93,高楼层(共24层) 板楼,9490,南|毛坯,2020.12.29
,,,,,
九州奥城 1室1厅 38平米,35,中楼层(共6层) 板楼,9211,南|精装,2020.12.28
,,,,,
上饶丽城 2室2厅 86.35平米,91,高楼层(共17层) 板楼,10516,南|精装,2020.12.28
,,,,,
书院路86号 2室1厅 83.65平米,44,高楼层(共5层) 板塔结合,5261,南|其他,2020.12.28
,,,,,
新城吾悦广场 4室2厅 142.79平米,95,低楼层(共18层) 板楼,6654,南北|毛坯,2020.12.28
,,,,,
三江佳苑 2室2厅 88.83平米,56,中楼层(共7层) 塔楼,6305,南|精装,2020.12.28
,,,,,
和锦園 4室2厅 116.23平米,149,低楼层(共5层) 板楼,12820,南|毛坯,2020.12.28
,,,,,
永隆米兰春天 1室1厅 35平米,38,高楼层(共22层) 板楼,10772,南|精装,2020.12.28
,,,,,
江南商贸城 3室2厅 166平米,85,中楼层(共4层) 板楼,5121,南|简装,2020.12.28
,,,,,
友邦玫瑰公馆 2室2厅 75平米,36,低楼层(共10层) 板楼,4800,南|毛坯,2020.12.28
,,,,,
万达晶座 1室0厅 37平米,33,中楼层(共29层) 塔楼,8838,东东南|精装,2020.12.28
,,,,,
友邦·皇家公馆 3室1厅 94.45平米,77,中楼层(共32层) 板塔结合,8153,南|毛坯,2020.12.28
,,,,,
