成交小区,成交价（万元）,成交楼层,单价每平（元）,朝向,成交时间
和锦園 3室2厅 131.92平米,108,高楼层(共11层) 板楼,8187,南|毛坯,2021.03.28
,,,,,
汇成·凡尔赛 3室2厅 92.54平米,90,高楼层(共30层) 板楼,9661,南|毛坯,2021.03.27
,,,,,
公园道1号尊品 3室2厅 132.76平米,128,高楼层(共17层) 板楼,9642,南|毛坯,2021.03.27
,,,,,
汇成·凡尔赛 3室1厅 92平米,86,中楼层(共30层) 板楼,9316,南|毛坯,2021.03.27
,,,,,
富金新世界 2室2厅 82.5平米,57,低楼层(共18层) 塔楼,6885,南|毛坯,2021.03.27
,,,,,
亿升滨江花园 3室2厅 100.55平米,106,中楼层(共30层) 板楼,10493,南|精装,2021.03.27
,,,,,
凯旋如意城 3室2厅 97.83平米,94,高楼层(共23层) 板楼,9609,南|精装,2021.03.27
,,,,,
铁路新村 2室1厅 53平米,49,高楼层(共6层) 暂无数据,9151,南北|简装,2021.03.27
,,,,,
城市花园 3室1厅 204.69平米,132,高楼层(共9层) 塔楼,6449,南北|简装,2021.03.27
,,,,,
江光小区 3室1厅 47平米,43,低楼层(共5层) 板楼,9128,南|简装,2021.03.27
,,,,,
汇成·凡尔赛 4室2厅 126.7平米,108,高楼层(共18层) 暂无数据,8525,东|毛坯,2021.03.27
,,,,,
永隆米兰春天 4室2厅 143.06平米,130,低楼层(共17层) 板楼,9039,南北|简装,2021.03.27
,,,,,
亲亲家园 3室2厅 129平米,86,中楼层(共7层) 板塔结合,6636,东南|精装,2021.03.27
,,,,,
中山西路33号 4室2厅 196.8平米,101,高楼层(共7层) 暂无数据,5133,南|精装,2021.03.26
,,,,,
凯旋如意城 4室2厅 128.8平米,119,中楼层(共23层) 板楼,9201,南|毛坯,2021.03.26
,,,,,
亿升滨江花园 2室2厅 90.3平米,90,低楼层(共33层) 板楼,9967,东南|毛坯,2021.03.26
,,,,,
帝景湾 3室2厅 108.34平米,98,中楼层(共16层) 板塔结合,9046,南|毛坯,2021.03.26
,,,,,
天骄家园 2室2厅 77.79平米,56,高楼层(共7层) 平房,7109,南|简装,2021.03.26
,,,,,
河中巷17号 4室2厅 108.86平米,66,低楼层(共7层) 暂无数据,5990,南|简装,2021.03.26
,,,,,
万达华府 3室2厅 86.92平米,104,中楼层(共30层) 板楼,11966,南|精装,2021.03.25
,,,,,
丰溪路6号 3室1厅 87.84平米,56,低楼层(共6层) 暂无数据,6356,南|简装,2021.03.25
,,,,,
建亨上东城 3室2厅 86.64平米,78,中楼层(共24层) 板楼,8946,南|精装,2021.03.25
,,,,,
东湖花园 3室2厅 137.62平米,94,中楼层(共11层) 板楼,6773,南|简装,2021.03.25
,,,,,
旭日南大道81号 2室2厅 76.5平米,45,中楼层(共4层) 暂无数据,5883,东南|简装,2021.03.25
,,,,,
公园道1号尊品 3室2厅 103.5平米,104,中楼层(共18层) 板楼,10049,南|毛坯,2021.03.25
,,,,,
翡翠城 3室2厅 113.64平米,70,低楼层(共11层) 板楼,6152,南|毛坯,2021.03.25
,,,,,
金洋帆名邸 2室2厅 103.65平米,86,低楼层(共30层) 板楼,8298,南|简装,2021.03.25
,,,,,
万达晶座 1室1厅 37.4平米,30,低楼层(共29层) 塔楼,8022,北|精装,2021.03.24
,,,,,
亿豪星城 4室2厅 125平米,90,高楼层(共25层) 板楼,7200,南北|毛坯,2021.03.24
,,,,,
东湖花园 3室2厅 138平米,94,低楼层(共11层) 板楼,6783,东南|毛坯,2021.03.24
,,,,,
金城花园 3室2厅 96.46平米,63,低楼层(共11层) 板塔结合,6532,南|毛坯,2021.03.24
,,,,,
福达家园 4室2厅 143.74平米,95,中楼层(共6层) 板楼,6582,南|简装,2021.03.24
,,,,,
龙湖一品 2室1厅 53.45平米,67,低楼层(共17层) 板楼,12536,南北|精装,2021.03.23
,,,,,
牛奶场小区 2室1厅 66.15平米,60,中楼层(共6层) 板楼,9071,南北|简装,2021.03.23
,,,,,
正合大厦 2室2厅 91平米,66,低楼层(共20层) 板楼,7209,南|精装,2021.03.23
,,,,,
博能瀚林院 2室2厅 99.28平米,74,中楼层(共28层) 塔楼,7434,南|精装,2021.03.23
,,,,,
十里风荷 3室2厅 120平米,71,低楼层(共11层) 暂无数据,5917,南|毛坯,2021.03.23
,,,,,
城市8号 3室2厅 96.36平米,90,高楼层(共11层) 塔楼,9320,南|毛坯,2021.03.23
,,,,,
美地印象 3室2厅 116.8平米,73,低楼层(共24层) 板塔结合,6216,南北|毛坯,2021.03.23
,,,,,
万达华府 3室2厅 126平米,145,中楼层(共32层) 板楼,11508,南北|毛坯,2021.03.23
,,,,,
江湾丽城 3室2厅 131.17平米,90,中楼层(共18层) 塔楼,6824,东|简装,2021.03.23
,,,,,
